Total:
36081
"term" "count"
"ahead" "ahead" 7
"pls" "pls" 98
"wanted" "wanted" 26
"watts" "watts" 1
"weekend" "weekend" 24
"arabian" "arabian" 1
"crave" "crave" 11
"forget" "forget" 16
"mmmmmm" "mmmmmm" 2
"need" "need" 157
"steed" "steed" 1
"sweet" "sweet" 34
"yummy" "yummy" 3
"seeing" "seeing" 14
"endowed" "endowed" 1
"hope" "hope" 100
"inches" "inches" 4
"ltgt" "ltgt" 276
"man" "man" 44
"well" "well" 127
"calls" "calls" 12
"callsmessagesmissed" "callsmessagesmissed" 3
"didnt" "didnt" 79
"get" "get" 307
"hep" "hep" 1
"immunisation" "immunisation" 1
"nigeria" "nigeria" 8
"fair" "fair" 3
"ask" "ask" 88
"bit" "bit" 45
"cant" "cant" 119
"hopefully" "hopefully" 5
"maybe" "maybe" 29
"tyler" "tyler" 5
"hospital" "hospital" 10
"hospitals" "hospitals" 2
"kept" "kept" 4
"stubborn" "stubborn" 1
"sucker" "sucker" 1
"suckers" "suckers" 1
"telling" "telling" 14
"weak" "weak" 5
"class" "class" 43
"saw" "saw" 23
"thinked" "thinked" 1
"time" "time" 189
"almost" "almost" 13
"eighth" "eighth" 2
"gets" "gets" 11
"gram" "gram" 3
"half" "half" 25
"runs" "runs" 3
"second" "second" 18
"smarter" "smarter" 1
"usually" "usually" 6
"whole" "whole" 14
"crashing" "crashing" 1
"fyi" "fyi" 6
"hes" "hes" 32
"morning" "morning" 77
"place" "place" 54
"ride" "ride" 5
"tomorrow" "tomorrow" 80
"accomodations" "accomodations" 1
"best" "best" 40
"cave" "cave" 1
"embarassed" "embarassed" 4
"embarassing" "embarassing" 1
"give" "give" 95
"happy" "happy" 106
"liked" "liked" 7
"never" "never" 43
"offered" "offered" 1
"realized" "realized" 3
"seemed" "seemed" 4
"since" "since" 25
"sorry" "sorry" 153
"thought" "thought" 46
"wow" "wow" 10
"find" "find" 50
"lturlgt" "lturlgt" 3
"mallika" "mallika" 1
"sherawat" "sherawat" 1
"yesterday" "yesterday" 20
"call" "call" 231
"later" "later" 134
"meeting" "meeting" 43
"reached" "reached" 10
"odi" "odi" 2
"sehwag" "sehwag" 1
"series" "series" 4
"yesgauti" "yesgauti" 1
"burger" "burger" 1
"killing" "killing" 2
"move" "move" 11
"pain" "pain" 25
"pick" "pick" 69
"girls" "girls" 11
"good" "good" 224
"joke" "joke" 5
"seekers" "seekers" 1
"situation" "situation" 9
"checking" "checking" 11
"part" "part" 21
"come" "come" 227
"forever" "forever" 10
"took" "took" 19
"check" "check" 34
"cut" "cut" 13
"double" "double" 5
"dresser" "dresser" 3
"hair" "hair" 24
"nice" "nice" 57
"said" "said" 87
"short" "short" 9
"wun" "wun" 7
"day" "day" 192
"dedicate" "dedicate" 2
"dedicated" "dedicated" 2
"frnds" "frnds" 14
"rply" "rply" 5
"send" "send" 123
"song" "song" 9
"valuable" "valuable" 4
"end" "end" 27
"month" "month" 28
"plane" "plane" 5
"hee" "hee" 13
"lucky" "lucky" 9
"money" "money" 53
"save" "save" 7
"wah" "wah" 4
"finished" "finished" 19
"babe" "babe" 69
"something" "something" 68
"wanna" "wanna" 28
"kkwhere" "kkwhere" 2
"performed" "performed" 1
"youhow" "youhow" 1
"free" "free" 59
"machan" "machan" 4
"waiting" "waiting" 36
"cool" "cool" 41
"dignity" "dignity" 3
"gentleman" "gentleman" 3
"respect" "respect" 3
"much" "much" 112
"peoples" "peoples" 1
"shy" "shy" 2
"operate" "operate" 1
"earn" "earn" 2
"job" "job" 43
"looking" "looking" 20
"tas" "tas" 1
"next" "next" 46
"stop" "stop" 37
"network" "network" 4
"sms" "sms" 18
"urgnt" "urgnt" 5
"jacket" "jacket" 2
"multis" "multis" 1
"one" "one" 163
"real" "real" 24
"tickets" "tickets" 7
"used" "used" 14
"bed" "bed" 32
"came" "came" 26
"cash" "cash" 12
"coins" "coins" 4
"factory" "factory" 1
"gotta" "gotta" 12
"nitros" "nitros" 2
"requests" "requests" 2
"started" "started" 17
"download" "download" 10
"ela" "ela" 2
"kanoil" "kanoil" 1
"wen" "wen" 25
"close" "close" 14
"don‘t" "don‘t" 6
"stand" "stand" 7
"you‘ll" "you‘ll" 1
"afternoon" "afternoon" 27
"another" "another" 35
"casualty" "casualty" 1
"havent" "havent" 45
"includes" "includes" 1
"late" "late" 55
"means" "means" 26
"night" "night" 109
"sheets" "sheets" 3
"spent" "spent" 8
"stuffmoro" "stuffmoro" 1
"becoz" "becoz" 4
"hurts" "hurts" 8
"loves" "loves" 8
"pleasure" "pleasure" 7
"pours" "pours" 2
"rain" "rain" 9
"smile" "smile" 44
"smiling" "smiling" 20
"someone" "someone" 46
"sum" "sum" 5
"trouble" "trouble" 8
"buy" "buy" 62
"lido" "lido" 3
"planning" "planning" 8
"show" "show" 21
"abt" "abt" 26
"moviewat" "moviewat" 1
"telugu" "telugu" 1
"loads" "loads" 10
"loans" "loans" 1
"appointment" "appointment" 4
"beforehand" "beforehand" 1
"cause" "cause" 18
"forgot" "forgot" 31
"four" "four" 2
"hairdressers" "hairdressers" 1
"hols" "hols" 2
"prob" "prob" 16
"run" "run" 23
"shower" "shower" 11
"animation" "animation" 1
"coffee" "coffee" 8
"cup" "cup" 5
"else" "else" 23
"nothing" "nothing" 34
"please" "please" 77
"text" "text" 68
"ams" "ams" 1
"ave" "ave" 5
"legal" "legal" 4
"long" "long" 42
"okay" "okay" 26
"price" "price" 7
"driving" "driving" 20
"gone" "gone" 15
"test" "test" 22
"yet" "yet" 48
"boston" "boston" 5
"changed" "changed" 6
"cuz" "cuz" 7
"gave" "gave" 10
"guess" "guess" 31
"location" "location" 2
"mean" "mean" 20
"men" "men" 7
"nyc" "nyc" 4
"page" "page" 6
"says" "says" 27
"search" "search" 15
"signin" "signin" 1
"youre" "youre" 51
"dear" "dear" 97
"life" "life" 76
"lot" "lot" 35
"umma" "umma" 7
"vava" "vava" 3
"birthday" "birthday" 35
"making" "making" 23
"memorable" "memorable" 1
"thanks" "thanks" 61
"truly" "truly" 2
"wishes" "wishes" 8
"aight" "aight" 33
"hit" "hit" 11
"address" "address" 17
"computer" "computer" 7
"considering" "considering" 4
"isnt" "isnt" 17
"minecraft" "minecraft" 1
"server" "server" 1
"better" "better" 41
"grumpy" "grumpy" 1
"jokes" "jokes" 5
"lying" "lying" 1
"mom" "mom" 12
"old" "old" 18
"people" "people" 47
"play" "play" 20
"busy" "busy" 17
"worry" "worry" 22
"noun" "noun" 2
"plural" "plural" 1
"research" "research" 4
"dinnermsg" "dinnermsg" 1
"cos" "cos" 76
"loud" "loud" 3
"mah" "mah" 13
"new" "new" 67
"scared" "scared" 5
"things" "things" 51
"anythin" "anythin" 3
"anyway" "anyway" 27
"eatin" "eatin" 7
"formal" "formal" 1
"happened" "happened" 16
"juz" "juz" 25
"openin" "openin" 1
"puttin" "puttin" 2
"sentence" "sentence" 3
"special" "special" 34
"weighthaha" "weighthaha" 1
"apartment" "apartment" 8
"askd" "askd" 12
"bday" "bday" 15
"boss" "boss" 9
"cabin" "cabin" 5
"entered" "entered" 5
"felt" "felt" 13
"invited" "invited" 8
"went" "went" 61
"eggpotato" "eggpotato" 1
"friday" "friday" 14
"goodo" "goodo" 2
"must" "must" 22
"needed" "needed" 3
"ratio" "ratio" 1
"tortilla" "tortilla" 2
"directly" "directly" 6
"food" "food" 23
"hmmmy" "hmmmy" 1
"informed" "informed" 3
"paying" "paying" 7
"school" "school" 27
"uncle" "uncle" 12
"applespairsall" "applespairsall" 1
"malarky" "malarky" 1
"sao" "sao" 1
"buying" "buying" 9
"predict" "predict" 1
"üll" "üll" 3
"apologise" "apologise" 3
"bother" "bother" 7
"hasnt" "hasnt" 5
"imposed" "imposed" 1
"involve" "involve" 1
"knowyetunde" "knowyetunde" 1
"sending" "sending" 10
"sent" "sent" 58
"shouldnt" "shouldnt" 5
"bak" "bak" 8
"del" "del" 1
"girl" "girl" 29
"hey" "hey" 106
"lucyxx" "lucyxx" 1
"cost" "cost" 10
"kkhow" "kkhow" 4
"accomodate" "accomodate" 1
"tmorrowpls" "tmorrowpls" 1
"answer" "answer" 14
"question" "question" 15
"haf" "haf" 23
"msn" "msn" 2
"yijuehotmailcom" "yijuehotmailcom" 1
"activities" "activities" 4
"befor" "befor" 4
"rooms" "rooms" 4
"lazy" "lazy" 9
"lect" "lect" 9
"pouch" "pouch" 2
"type" "type" 15
"mail" "mail" 24
"sir" "sir" 33
"biggest" "biggest" 1
"cozsomtimes" "cozsomtimes" 1
"gud" "gud" 64
"hearts" "hearts" 1
"little" "little" 27
"lovable" "lovable" 11
"nver" "nver" 1
"occupy" "occupy" 2
"persons" "persons" 7
"swt" "swt" 2
"tired" "tired" 12
"open" "open" 16
"dot" "dot" 1
"staff" "staff" 2
"taking" "taking" 17
"whats" "whats" 32
"begin" "begin" 4
"hard" "hard" 13
"inour" "inour" 1
"pray" "pray" 8
"qatar" "qatar" 4
"ummmawill" "ummmawill" 1
"contact" "contact" 12
"deleted" "deleted" 4
"birla" "birla" 3
"sindu" "sindu" 1
"soft" "soft" 3
"flowing" "flowing" 2
"nevering" "nevering" 1
"wine" "wine" 11
"plaza" "plaza" 2
"thk" "thk" 50
"reply" "reply" 43
"typical" "typical" 1
"become" "become" 6
"chores" "chores" 1
"comes" "comes" 18
"dirt" "dirt" 1
"dream" "dream" 7
"everywhere" "everywhere" 2
"exist" "exist" 1
"floor" "floor" 3
"hail" "hail" 1
"joy" "joy" 4
"lots" "lots" 15
"mist" "mist" 1
"mouth" "mouth" 2
"shirt" "shirt" 4
"shows" "shows" 5
"sometimes" "sometimes" 8
"windows" "windows" 2
"without" "without" 28
"aaooooright" "aaooooright" 1
"house" "house" 35
"leaving" "leaving" 19
"boy" "boy" 30
"interview" "interview" 4
"meare" "meare" 1
"missing" "missing" 26
"envy" "envy" 1
"everyone" "everyone" 16
"keep" "keep" 62
"miss" "miss" 72
"safe" "safe" 11
"sees" "sees" 1
"hand" "hand" 15
"parentsi" "parentsi" 1
"excited" "excited" 1
"spend" "spend" 10
"cultures" "cultures" 1
"module" "module" 2
"points" "points" 4
"avoid" "avoid" 2
"beloved" "beloved" 2
"frnd" "frnd" 10
"missunderstding" "missunderstding" 1
"ones" "ones" 8
"wit" "wit" 15
"bridge" "bridge" 1
"escape" "escape" 4
"fancy" "fancy" 5
"lager" "lager" 1
"needs" "needs" 15
"also" "also" 68
"completely" "completely" 8
"formclark" "formclark" 2
"utter" "utter" 2
"waste" "waste" 7
"account" "account" 20
"axis" "axis" 1
"bank" "bank" 12
"discuss" "discuss" 5
"hmmm" "hmmm" 9
"hop" "hop" 7
"liao" "liao" 35
"muz" "muz" 11
"coming" "coming" 50
"begins" "begins" 1
"believe" "believe" 18
"bloody" "bloody" 4
"clue" "clue" 1
"hell" "hell" 12
"spanish" "spanish" 1
"surname" "surname" 1
"bath" "bath" 11
"goodfine" "goodfine" 1
"carlos" "carlos" 15
"youve" "youve" 10
"mall" "mall" 3
"smoke" "smoke" 18
"staying" "staying" 9
"til" "til" 25
"turns" "turns" 6
"worth" "worth" 4
"log" "log" 7
"experience" "experience" 7
"maneesha" "maneesha" 3
"satisfied" "satisfied" 3
"spoke" "spoke" 6
"toll" "toll" 3
"wed" "wed" 9
"anyways" "anyways" 4
"approaches" "approaches" 1
"especially" "especially" 9
"hopes" "hopes" 1
"lifted" "lifted" 1
"offer" "offer" 7
"studying" "studying" 9
"trust" "trust" 9
"guys" "guys" 33
"greatbye" "greatbye" 1
"boytoy" "boytoy" 16
"finding" "finding" 1
"handsome" "handsome" 1
"mummy" "mummy" 3
"net" "net" 7
"towards" "towards" 7
"wheres" "wheres" 8
"working" "working" 29
"awesome" "awesome" 19
"haha" "haha" 48
"minute" "minute" 12
"radio" "radio" 3
"xmas" "xmas" 13
"bathe" "bathe" 10
"finishes" "finishes" 3
"jus" "jus" 35
"sis" "sis" 17
"using" "using" 7
"deal" "deal" 8
"friend" "friend" 36
"joined" "joined" 4
"league" "league" 1
"personal" "personal" 4
"touch" "touch" 16
"week" "week" 66
"completed" "completed" 2
"course" "course" 14
"finally" "finally" 14
"able" "able" 26
"every" "every" 40
"however" "however" 7
"ors" "ors" 1
"stays" "stays" 2
"stool" "stool" 1
"suggest" "suggest" 3
"settled" "settled" 4
"wishin" "wishin" 2
"year" "year" 44
"hav" "hav" 26
"mrng" "mrng" 15
"story" "story" 20
"dead" "dead" 8
"hamster" "hamster" 2
"mrt" "mrt" 9
"orchard" "orchard" 11
"tmr" "tmr" 28
"babyjontet" "babyjontet" 1
"evening" "evening" 26
"kate" "kate" 11
"txt" "txt" 13
"xxx" "xxx" 23
"enc" "enc" 1
"found" "found" 16
"bucks" "bucks" 7
"college" "college" 15
"darlin" "darlin" 14
"balance" "balance" 4
"inr" "inr" 2
"keralacircle" "keralacircle" 2
"ltdecimalgt" "ltdecimalgt" 23
"prepaid" "prepaid" 2
"refilled" "refilled" 2
"successfully" "successfully" 3
"transaction" "transaction" 5
"goodmorning" "goodmorning" 14
"sleeping" "sleeping" 17
"alter" "alter" 1
"dat" "dat" 39
"ericsson" "ericsson" 2
"oredi" "oredi" 15
"oso" "oso" 23
"dats" "dats" 3
"dogg" "dogg" 1
"straight" "straight" 4
"bill" "bill" 7
"connection" "connection" 4
"refund" "refund" 1
"big" "big" 35
"ready" "ready" 35
"shoot" "shoot" 4
"break" "break" 13
"bruv" "bruv" 2
"rewarding" "rewarding" 2
"semester" "semester" 12
"chat" "chat" 14
"kkgoodstudy" "kkgoodstudy" 1
"leh" "leh" 29
"noe" "noe" 20
"sounds" "sounds" 15
"draw" "draw" 5
"heading" "heading" 2
"match" "match" 5
"prediction" "prediction" 1
"nights" "nights" 3
"past" "past" 7
"slept" "slept" 8
"ahsen" "ahsen" 2
"easy" "easy" 18
"selected" "selected" 4
"exam" "exam" 11
"march" "march" 13
"atm" "atm" 3
"register" "register" 1
"use" "use" 36
"called" "called" 32
"diskyou" "diskyou" 1
"files" "files" 4
"important" "important" 14
"installing" "installing" 2
"repair" "repair" 2
"shop" "shop" 13
"system" "system" 6
"ubandu" "ubandu" 1
"happen" "happen" 20
"nite" "nite" 27
"romantic" "romantic" 4
"scenery" "scenery" 1
"appreciate" "appreciate" 7
"company" "company" 15
"elama" "elama" 1
"mudyadhu" "mudyadhu" 1
"bcoz" "bcoz" 12
"conducts" "conducts" 2
"lessons" "lessons" 9
"strict" "strict" 1
"teacher" "teacher" 3
"teaches" "teaches" 4
"cross" "cross" 1
"gandhipuram" "gandhipuram" 1
"road" "road" 8
"side" "side" 13
"street" "street" 7
"walk" "walk" 19
"rubber" "rubber" 1
"battery" "battery" 7
"died" "died" 5
"yeshere" "yeshere" 2
"printed" "printed" 2
"upstairs" "upstairs" 2
"closer" "closer" 4
"reach" "reach" 26
"wil" "wil" 19
"youwhen" "youwhen" 1
"argue" "argue" 4
"argument" "argument" 5
"correct" "correct" 8
"kick" "kick" 5
"loses" "loses" 3
"person" "person" 43
"theory" "theory" 4
"wins" "wins" 4
"case" "case" 14
"final" "final" 2
"hearing" "hearing" 1
"laptop" "laptop" 12
"tomarrow" "tomarrow" 3
"avent" "avent" 3
"pleassssssseeeeee" "pleassssssseeeeee" 1
"sportsx" "sportsx" 1
"tel" "tel" 12
"meant" "meant" 14
"shining" "shining" 2
"signing" "signing" 2
"although" "although" 2
"baig" "baig" 1
"everything" "everything" 30
"face" "face" 29
"thanx" "thanx" 32
"told" "told" 53
"touched" "touched" 3
"uve" "uve" 1
"watch" "watch" 33
"watches" "watches" 1
"commercial" "commercial" 2
"slippers" "slippers" 3
"website" "website" 4
"asked" "asked" 22
"bat" "bat" 3
"innings" "innings" 3
"kallis" "kallis" 6
"dearly" "dearly" 3
"fix" "fix" 5
"goodnight" "goodnight" 8
"missed" "missed" 21
"sleep" "sleep" 56
"wake" "wake" 26
"cal" "cal" 6
"deepak" "deepak" 2
"deeraj" "deeraj" 2
"drpd" "drpd" 2
"hold" "hold" 15
"min" "min" 26
"ranjith" "ranjith" 3
"affection" "affection" 4
"angry" "angry" 18
"bcums" "bcums" 4
"care" "care" 63
"childish" "childish" 6
"coz" "coz" 19
"deep" "deep" 10
"dnt" "dnt" 13
"kettoda" "kettoda" 4
"luv" "luv" 32
"manda" "manda" 4
"showing" "showing" 7
"true" "true" 23
"wid" "wid" 16
"doinghow" "doinghow" 2
"bribe" "bribe" 1
"days" "days" 28
"lag" "lag" 2
"nipost" "nipost" 1
"shipping" "shipping" 3
"takes" "takes" 12
"ups" "ups" 1
"usps" "usps" 1
"wks" "wks" 3
"lemme" "lemme" 8
"expect" "expect" 4
"headin" "headin" 2
"necessarily" "necessarily" 2
"jolt" "jolt" 2
"mmm" "mmm" 4
"suzy" "suzy" 1
"lover" "lover" 7
"mini" "mini" 2
"parked" "parked" 3
"disturb" "disturb" 9
"shopping" "shopping" 23
"luton" "luton" 1
"ring" "ring" 15
"dint" "dint" 6
"plan" "plan" 32
"sometme" "sometme" 1
"trip" "trip" 17
"wana" "wana" 11
"evo" "evo" 1
"flash" "flash" 3
"jealous" "jealous" 3
"narcotics" "narcotics" 1
"sorting" "sorting" 3
"bay" "bay" 4
"blue" "blue" 12
"ended" "ended" 6
"leaves" "leaves" 10
"rays" "rays" 5
"sunny" "sunny" 6
"worries" "worries" 9
"might" "might" 34
"objection" "objection" 1
"mack" "mack" 1
"rob" "rob" 1
"theater" "theater" 1
"celebrations" "celebrations" 1
"full" "full" 21
"handed" "handed" 3
"swing" "swing" 12
"tool" "tool" 2
"definitely" "definitely" 6
"gdeve" "gdeve" 1
"keepintouch" "keepintouch" 1
"far" "far" 16
"okie" "okie" 19
"ahold" "ahold" 1
"anybody" "anybody" 5
"last" "last" 65
"passed" "passed" 4
"throw" "throw" 4
"usual" "usual" 7
"lets" "lets" 17
"baby" "baby" 28
"cruisin" "cruisin" 1
"fone" "fone" 9
"hour" "hour" 30
"jenny" "jenny" 2
"dearshall" "dearshall" 1
"edukkukayee" "edukkukayee" 1
"okvarunnathu" "okvarunnathu" 1
"ollubut" "ollubut" 1
"raksha" "raksha" 1
"sense" "sense" 7
"streetshall" "streetshall" 1
"tonitebusy" "tonitebusy" 1
"tonitethings" "tonitethings" 1
"update" "update" 5
"gautham" "gautham" 3
"cam" "cam" 2
"stupid" "stupid" 10
"buzy" "buzy" 3
"accidentally" "accidentally" 4
"message" "message" 51
"resend" "resend" 2
"appropriate" "appropriate" 1
"gurl" "gurl" 1
"unless" "unless" 9
"bslvyl" "bslvyl" 13
"cry" "cry" 5
"die" "die" 12
"grave" "grave" 2
"hurt" "hurt" 23
"plz" "plz" 25
"rose" "rose" 8
"tease" "tease" 3
"phone" "phone" 80
"tomocant" "tomocant" 2
"diesel" "diesel" 1
"high" "high" 4
"somebody" "somebody" 9
"crash" "crash" 2
"def" "def" 4
"imagine" "imagine" 7
"scary" "scary" 3
"shit" "shit" 34
"shocking" "shocking" 2
"somewhere" "somewhere" 10
"taxi" "taxi" 2
"fridge" "fridge" 1
"meal" "meal" 3
"actor" "actor" 2
"womdarfull" "womdarfull" 1
"book" "book" 17
"remb" "remb" 1
"jos" "jos" 1
"friendship" "friendship" 21
"hanging" "hanging" 4
"thread" "thread" 2
"arent" "arent" 7
"bookshelf" "bookshelf" 1
"garage" "garage" 3
"keys" "keys" 3
"accept" "accept" 9
"belovd" "belovd" 4
"bstfrnd" "bstfrnd" 3
"clos" "clos" 3
"cutefrnd" "cutefrnd" 3
"dayu" "dayu" 3
"enemy" "enemy" 4
"jstfrnd" "jstfrnd" 3
"lifpartnr" "lifpartnr" 3
"lvblefrnd" "lvblefrnd" 3
"sister" "sister" 17
"swtheart" "swtheart" 3
"lost" "lost" 11
"mylife" "mylife" 1
"normal" "normal" 8
"rest" "rest" 9
"uniquei" "uniquei" 1
"waythis" "waythis" 1
"wot" "wot" 23
"made" "made" 30
"kkadvance" "kkadvance" 1
"pongal" "pongal" 3
"anot" "anot" 2
"dunno" "dunno" 31
"power" "power" 8
"tahan" "tahan" 2
"yoga" "yoga" 7
"afraid" "afraid" 3
"dude" "dude" 23
"cake" "cake" 3
"christmas" "christmas" 11
"kisses" "kisses" 4
"merry" "merry" 9
"buses" "buses" 2
"cud" "cud" 4
"gon" "gon" 1
"gona" "gona" 3
"pete" "pete" 9
"ppl" "ppl" 5
"waitin" "waitin" 4
"bristol" "bristol" 2
"flight" "flight" 2
"guild" "guild" 1
"plans" "plans" 11
"problem" "problem" 35
"dahow" "dahow" 2
"todays" "todays" 8
"reading" "reading" 13
"record" "record" 3
"sign" "sign" 6
"track" "track" 6
"women" "women" 2
"light" "light" 15
"read" "read" 14
"kgood" "kgood" 1
"kkapo" "kkapo" 1
"movie" "movie" 18
"immediately" "immediately" 5
"return" "return" 6
"chance" "chance" 12
"employers" "employers" 1
"evaporated" "evaporated" 1
"number" "number" 64
"paperwork" "paperwork" 2
"privacy" "privacy" 1
"report" "report" 6
"stealing" "stealing" 1
"supervisor" "supervisor" 3
"violated" "violated" 2
"tadaaaaa" "tadaaaaa" 1
"dined" "dined" 1
"wined" "wined" 1
"sleepingand" "sleepingand" 3
"surfing" "surfing" 5
"calling" "calling" 14
"bless" "bless" 2
"caroline" "caroline" 2
"favourite" "favourite" 3
"post" "post" 14
"texts" "texts" 9
"wiv" "wiv" 6
"hiding" "hiding" 1
"stranger" "stranger" 2
"interested" "interested" 7
"cleared" "cleared" 3
"round" "round" 7
"two" "two" 32
"gudnitetcpractice" "gudnitetcpractice" 2
"dis" "dis" 28
"huiming" "huiming" 1
"num" "num" 6
"yijue" "yijue" 6
"prestige" "prestige" 1
"small" "small" 11
"jeremiah" "jeremiah" 1
"iphone" "iphone" 1
"apeshit" "apeshit" 1
"basically" "basically" 5
"ever" "ever" 32
"fault" "fault" 6
"misbehaved" "misbehaved" 2
"slap" "slap" 3
"urself" "urself" 9
"alcohol" "alcohol" 3
"figure" "figure" 10
"jay" "jay" 11
"safely" "safely" 1
"weed" "weed" 10
"ago" "ago" 12
"ish" "ish" 12
"minutes" "minutes" 27
"wtf" "wtf" 4
"aig" "aig" 1
"allahrakhesh" "allahrakhesh" 1
"callingforgot" "callingforgot" 1
"insha" "insha" 1
"insurance" "insurance" 7
"met" "met" 9
"onam" "onam" 1
"personmeet" "personmeet" 1
"remembered" "remembered" 3
"sirjii" "sirjii" 1
"tata" "tata" 1
"tisscotayseer" "tisscotayseer" 1
"moment" "moment" 10
"unemployed" "unemployed" 2
"andrewsboy" "andrewsboy" 1
"cold" "cold" 6
"posted" "posted" 6
"chikku" "chikku" 12
"chikkudb" "chikkudb" 1
"audreys" "audreys" 1
"status" "status" 2
"forward" "forward" 7
"air" "air" 7
"alive" "alive" 2
"breathe" "breathe" 2
"dawns" "dawns" 1
"refreshed" "refreshed" 1
"sunshine" "sunshine" 1
"uniform" "uniform" 1
"cuddling" "cuddling" 2
"geeee" "geeee" 5
"wish" "wish" 50
"woke" "woke" 10
"spoil" "spoil" 1
"agree" "agree" 2
"talking" "talking" 13
"willing" "willing" 5
"didt" "didt" 5
"mei" "mei" 6
"recognise" "recognise" 2
"seen" "seen" 12
"bars" "bars" 1
"happening" "happening" 7
"heron" "heron" 1
"lindsay" "lindsay" 1
"ptbo" "ptbo" 3
